id_survey,date_of_survey,ticket_system,overall_rating,ease_of_use,likelihood_to_recommend,overall_text,fill_survey,customer_satisfaction,is_satisfied,nps_category,vader_sentiment,transformer_sentiment
T_04399,2024-12-21,Zendesk,,,,,Not Responded,Not Satisfied,,,,
T_01415,2024-10-18,Freshdesk,,,,,Not Responded,Not Satisfied,,,,
T_02555,2024-11-15,Jira Service Management,,,,,Not Responded,Not Satisfied,,,,
T_04472,2024-12-23,Zoho Desk,,,,,Not Responded,Not Satisfied,,,,
T_00958,2024-10-05,ServiceNow,,,,,Not Responded,Not Satisfied,,,,
T_04397,2024-12-21,Zendesk,5.0,5.0,10.0,"Pros:The platform has great uptime, never gives issues and is incredibly easy/fast to use.",Responded,Satisfied,1.0,Promoter,Positive,Positive
T_00173,2024-09-07,Freshdesk,,,,,Not Responded,Not Satisfied,,,,
T_02975,2024-11-24,Zoho Desk,5.0,5.0,10.0,Pros:We love that is it cloud based.very easy to customize to fit our needs.we also wanted a system that grows with us as we grow our team.very scalable.,Responded,Satisfied,1.0,Promoter,Positive,Positive
T_00045,2024-09-02,Zendesk,,,,,Not Responded,Not Satisfied,,,,
T_01807,2024-10-29,Freshdesk,4.0,5.0,8.0,"The tool has increased the productivity of the team, due to the automation of many tasks that were done manually before.i personally use the tool to report the Support situation to the Top Management but, as I said before, I had to rebuild some dashboard externally (Excel) due to the weird result of some of the KPIs stored in the software.",Responded,Satisfied,1.0,Passive,Positive,Positive
T_02422,2024-11-12,Jira Service Management,,,,,Not Responded,Not Satisfied,,,,
T_03147,2024-11-28,Zendesk,5.0,5.0,9.0,"Overall, my experience with Zendesk is very pleasant. I can keep track of all issues, questions, tasks and/or discrepancies with ease. Mostly I find myself looking through past tickets as a refresher to how much my company has overcome and the improvements made as a result.",Responded,Satisfied,1.0,Promoter,Positive,Positive
T_00097,2024-09-04,Zendesk,4.0,4.0,8.0,customer communication has been good,Responded,Satisfied,1.0,Passive,Positive,Positive
T_00952,2024-10-05,Zendesk,4.0,4.0,8.0,Zendesk is very helpful for to me. I was able to assist fitness studio's that are experiencing an issue with the equipment's via zendesk.,Responded,Satisfied,1.0,Passive,Positive,Positive
T_01919,2024-11-02,Zoho Desk,,,,,Not Responded,Not Satisfied,,,,
T_02700,2024-11-18,Zendesk,,,,,Not Responded,Not Satisfied,,,,
T_03078,2024-11-26,Jira Service Management,,,,,Not Responded,Not Satisfied,,,,
T_00940,2024-10-05,Freshdesk,5.0,5.0,10.0,"We've been using Freshdesk for our really small SAAS business for the past few years and have been really happy with the product.Freshdesk helps us ensure that none of our customers' issues EVER slips through the cracks.We're constantly getting feedback from our customers about how great our support is, and while our support reps are awesome, we owe Freshdesk the credit for keeping us organized.",Responded,Satisfied,1.0,Promoter,Positive,Positive
T_03963,2024-12-13,Zoho Desk,,,,,Not Responded,Not Satisfied,,,,
T_00075,2024-09-03,Zendesk,4.0,5.0,7.0,It has been great. I was looking for a very simple tool to deal with IT issues without having to clog up my Outlook inbox and this has been fantastic. At a low price point I'm able to have all my tickets in a system that shows me all the notes between I and the staff and an easy to read email sent out automatically when I respond in the system itself.,Responded,Satisfied,1.0,Passive,Positive,Positive
T_00839,2024-10-02,Freshdesk,4.0,5.0,9.0,"It has been of great help, it has helped us a lot with the management of incidents in the company and to manage each project in a better way.",Responded,Satisfied,1.0,Promoter,Positive,Positive
T_01773,2024-10-28,Zendesk,,,,,Not Responded,Not Satisfied,,,,
T_02839,2024-11-21,Zendesk,,,,,Not Responded,Not Satisfied,,,,
T_01388,2024-10-17,Zendesk,,,,,Not Responded,Not Satisfied,,,,
T_02579,2024-11-16,Freshdesk,,,,,Not Responded,Not Satisfied,,,,
T_01634,2024-10-25,Zoho Desk,,,,,Not Responded,Not Satisfied,,,,
T_02472,2024-11-13,Jira Service Management,5.0,5.0,10.0,"En general mi experiencia con Jira Service Management ha sido muy positiva, ya que me ha permitido avanzar a traves de los proyectos en que he participado de manera agil y ordenada, entregando incrementos de valor.",Responded,Satisfied,1.0,Promoter,Positive,Neutral
T_01751,2024-10-28,Zoho Desk,,,,,Not Responded,Not Satisfied,,,,
T_00260,2024-09-10,Zendesk,5.0,5.0,10.0,"Our experience with Zendesk Suite has been extremely positive. The software is intuitive and easy to use, making it simple for our team to efficiently handle customer inquiries and concerns. The Ticket Management feature, in particular, has been incredibly impactful, allowing our team to prioritize and organize customer inquiries in a way that maximizes efficiency and effectiveness.The Sales Pipeline Management feature has also been a valuable asset, as it helps our team stay on top of potential sales opportunities and effectively manage and close deals. The Multi-Channel Communication feature is also a standout, as it enables our team to communicate with customers through a variety of channels, providing convenience and flexibility.Integration with other applications and services has been seamless, allowing our team to easily access and utilize the information and tools they need to provide the best possible customer support. The reporting and analytics feature provides valuable insights into customer behavior and preferences, allowing us to make data-driven decisions.Zendesk Suite has been a valuable asset to our company, helping us to improve our customer support and resulting in a positive customer experience. It's also worth noting that Zendesk Suite's customer support is top-notch, they are always available to assist and answer any questions, and they constantly release updates to improve the software.",Responded,Satisfied,1.0,Promoter,Positive,Positive
T_03912,2024-12-12,Freshdesk,5.0,5.0,10.0,"Pros:The Freshworks applications are all easily integrated with each other, which makes it easy to set up. The apps in the marketplace make it easy to integrate with most other systems, which is great. I evaluated several products over a week and weekend, standing up different trials for a proof of concept. Freshdesk was the only one that I was able to get started with a minimal amount of configuration. As in, it took me an hour to stand it up, create users, generate test tickets, create responders - almost within an hour. It was insane how much easier it was than the competition. Additionally, the pricing was easy to understand and flexible enough to grow as we grow.",Responded,Satisfied,1.0,Promoter,Positive,Positive
T_02899,2024-11-22,Jira Service Management,5.0,4.0,9.0,"Overall, Jira has many integrations and way tu automate in-house processes. Second to none.",Responded,Satisfied,1.0,Promoter,Neutral,Positive
T_03592,2024-12-06,Jira Service Management,4.0,4.0,8.0,"I prefer Jira Service Management because it is very similar to Jira software; If you are familiar with Jira software, you will have no problem using this one. Concise but effective.",Responded,Satisfied,1.0,Passive,Positive,Positive
T_03707,2024-12-08,Jira Service Management,,,,,Not Responded,Not Satisfied,,,,
T_02865,2024-11-22,Zoho Desk,5.0,5.0,10.0,Good to use,Responded,Satisfied,1.0,Promoter,Positive,Positive
T_04254,2024-12-18,Jira Service Management,5.0,3.0,7.0,"Overall when the software works it does the job, it's a bit of a nightmare to configure and the costings are not the cheapest but not as expensive as competitor products, i.e. zendesk, freshdesk etc.",Responded,Satisfied,1.0,Passive,Neutral,Neutral
T_00170,2024-09-07,Zoho Desk,,,,,Not Responded,Not Satisfied,,,,
T_01072,2024-10-08,Jira Service Management,,,,,Not Responded,Not Satisfied,,,,
T_00367,2024-09-14,otrs,,,,,Not Responded,Not Satisfied,,,,
T_03092,2024-11-27,Zoho Desk,,,,,Not Responded,Not Satisfied,,,,
T_02106,2024-11-06,Zendesk,,,,,Not Responded,Not Satisfied,,,,
T_03257,2024-11-30,Zendesk,4.0,4.0,9.0,"Great, there is no tool i've tried for ticketing that can beat Zendesk at this point. Great features, great marketplace and integrations, very easy to use, so deeply customisable.",Responded,Satisfied,1.0,Promoter,Positive,Positive
T_03840,2024-12-11,Zoho Desk,,,,,Not Responded,Not Satisfied,,,,
T_04448,2024-12-22,Zendesk,,,,,Not Responded,Not Satisfied,,,,
T_03281,2024-12-01,Freshdesk,,,,,Not Responded,Not Satisfied,,,,
T_04593,2024-12-25,Freshdesk,,,,,Not Responded,Not Satisfied,,,,
T_04815,2024-12-29,Zendesk,,,,,Not Responded,Not Satisfied,,,,
T_04300,2024-12-19,ServiceNow,4.0,4.0,7.0,"I have used servicenow on multiple projects, mainly for incident tracking.It has worked very well for our teams.",Responded,Satisfied,1.0,Passive,Positive,Positive
T_04816,2024-12-29,Zendesk,4.0,3.0,7.0,"As our company grew, switching from Freshdesk to Zendesk was like using a kids toolset and then transitioning to a real workshop!",Responded,Satisfied,1.0,Passive,Positive,Positive
T_02850,2024-11-21,Zendesk,,,,,Not Responded,Not Satisfied,,,,
T_03533,2024-12-05,ServiceNow,,,,,Not Responded,Not Satisfied,,,,
T_01398,2024-10-17,Jira Service Management,,,,,Not Responded,Not Satisfied,,,,
T_02299,2024-11-10,Zendesk,,,,,Not Responded,Not Satisfied,,,,
T_00714,2024-09-27,Jira Service Management,,,,,Not Responded,Not Satisfied,,,,
T_03953,2024-12-12,Jira Service Management,5.0,5.0,10.0,Pros:It's really easy to configure a help center for customers. This makes easy for them to find the solution that they need.,Responded,Satisfied,1.0,Promoter,Positive,Positive
T_00407,2024-09-16,Zendesk,5.0,5.0,9.0,"There is not much to complain about. It's well priced, easy to use and has good support channels.",Responded,Satisfied,1.0,Promoter,Positive,Positive
T_03098,2024-11-27,Freshdesk,,,,,Not Responded,Not Satisfied,,,,
T_02258,2024-11-09,Zendesk,5.0,5.0,10.0,"My overall experience has been highly positive. This software wasinstrumental in keeping our business afloat during the heights of the pandemic. Although we are back in-person, we continue to rely on zendesk for efficient resolution of customer and potential customer issues and inquiries.",Responded,Satisfied,1.0,Promoter,Positive,Positive
T_02565,2024-11-16,Zoho Desk,,,,,Not Responded,Not Satisfied,,,,
T_03524,2024-12-05,Zendesk,5.0,5.0,10.0,Pros:Easy to use and to customize.Providing agents all the tools they need to manage requestes.Giving customers many channels to self-response their answers or get in communication with agents.,Responded,Satisfied,1.0,Promoter,Neutral,Positive
T_02563,2024-11-16,Zoho Desk,,,,,Not Responded,Not Satisfied,,,,
T_03991,2024-12-13,Jira Service Management,4.0,4.0,8.0,"Overall, it is good software for managing and tracking issues.",Responded,Satisfied,1.0,Passive,Positive,Positive
T_03689,2024-12-08,Zendesk,4.0,4.0,8.0,"Pros:you can manage multiple support areas, with multiple service teams without problems, it is easy to understand and use, the interface is light and very functional, excellent integration with social networks and other platforms (like Wordpress), it is extremely easy to track the behavior of a ticket, the dashboard is very very explicit. Excellent..!",Responded,Satisfied,1.0,Passive,Positive,Positive
T_01784,2024-10-28,Zendesk,5.0,4.0,8.0,Pros:- Agent interface really user friendly- ZD introduces Explore that really enhanced the Reporting experience.,Responded,Satisfied,1.0,Passive,Positive,Positive
T_04046,2024-12-14,ServiceNow,5.0,5.0,10.0,This is an awesome product which can be customized for any business.,Responded,Satisfied,1.0,Promoter,Positive,Positive
T_00423,2024-09-17,Zoho Desk,,,,,Not Responded,Not Satisfied,,,,
T_00987,2024-10-06,Zendesk,4.0,4.0,9.0,My experience with Zenedesk has been an overall positive one!,Responded,Satisfied,1.0,Promoter,Positive,Positive
T_00955,2024-10-05,Zendesk,5.0,5.0,9.0,"This has streamlined communications massively, and reduced my stress thinking I was missing something important! Well worth it.",Responded,Satisfied,1.0,Promoter,Negative,Positive
T_01007,2024-10-07,Zoho Desk,5.0,5.0,10.0,"Pros:Love how everything is easy to use, not hard to use at all and always get our emails on time",Responded,Satisfied,1.0,Promoter,Positive,Positive
T_02012,2024-11-04,Freshdesk,5.0,5.0,10.0,It is so much more streamlined than our old software SDP and I use this product nonstop for all of our customer supportneeds and will be adding the phone feature very soon.,Responded,Satisfied,1.0,Promoter,Neutral,Positive
T_03565,2024-12-06,Freshdesk,,,,,Not Responded,Not Satisfied,,,,
T_02774,2024-11-19,Jira Service Management,,,,,Not Responded,Not Satisfied,,,,
T_03308,2024-12-01,Jira Service Management,5.0,4.0,10.0,"Pros:Easy to integrate with ZenSimilar to another program we moved away from, but far more robustAllows for better ticket assignmentMore comprehensive with better options for ease of use",Responded,Satisfied,1.0,Promoter,Positive,Positive
T_03998,2024-12-14,Zoho Desk,3.0,3.0,5.0,"Zoho Desk is a great tool with many features, it seems some features may need ironing out or better documenting but otherwise it is a very useful tool that could be extremely valuable to many businesses in all different industries and niches. It is perfect for anyone who just wants a simple email ticketing solution but for those wanting to use the help desk knowledgebase solutions you may want to set aside some time to fully understand how it works and how to best use it.",Responded,Not Satisfied,0.0,Detractor,Positive,Positive
T_04222,2024-12-18,Zoho Desk,5.0,4.0,10.0,It's sure and promising Assuming that you are searching for proficiency in your tasks. Zoho is it!,Responded,Satisfied,1.0,Promoter,Positive,Positive
T_01613,2024-10-24,Zendesk,4.0,4.0,8.0,"Great tool to have a great communication to customers, easy to navigate, and this is what every businesses must have.",Responded,Satisfied,1.0,Passive,Positive,Positive
T_02729,2024-11-19,Zoho Desk,,,,,Not Responded,Not Satisfied,,,,
T_03990,2024-12-13,Jira Service Management,3.0,2.0,6.0,"Pros:Although it's not the friendliest app, it has a plus because it has many apps you can integrate it with, and that helps quite a bit.",Responded,Not Satisfied,0.0,Detractor,Negative,Positive
T_01350,2024-10-16,Zendesk,5.0,5.0,8.0,"From my perspective, its great at what it is supposed to be - a very easy to use and simple ticketing system.The API is straight forward and has most of the fields represented on the main Zendesk ticket screens.Overall, it is cheaper than Freshdesk and I feel like it accomplishes what we need it to for the most part.",Responded,Satisfied,1.0,Passive,Positive,Positive
T_02232,2024-11-09,Zoho Desk,,,,,Not Responded,Not Satisfied,,,,
T_00911,2024-10-04,Zendesk,5.0,4.0,8.0,"Pros:Zendesk allowed us to immensely improve our support ticket workflow. Previously our process made it very difficult to keep accurate records of incidents and generate reports against them. Now we are able to manage our support traffic in-flows, assign them with a few clicks, monitor progress to solution, and generate insights to improve our support performance.",Responded,Satisfied,1.0,Passive,Positive,Positive
T_00974,2024-10-06,Freshdesk,5.0,5.0,9.0,"Overall, Freshdesk has helped our business achieve better support results and there technical support is fast, easy to speak to and make sure an issue is fixed before leaving the customer.",Responded,Satisfied,1.0,Promoter,Positive,Positive
T_02029,2024-11-04,Zendesk,5.0,5.0,10.0,I LOVE this application. I've tried other apps and they do not beat Zendesk at all - not even close.,Responded,Satisfied,1.0,Promoter,Positive,Positive
T_04666,2024-12-26,ServiceNow,,,,,Not Responded,Not Satisfied,,,,
T_00149,2024-09-06,Freshdesk,,,,,Not Responded,Not Satisfied,,,,
T_04126,2024-12-16,Zoho Desk,,,,,Not Responded,Not Satisfied,,,,
T_01932,2024-11-02,Freshdesk,,,,,Not Responded,Not Satisfied,,,,
T_02102,2024-11-06,Freshdesk,,,,,Not Responded,Not Satisfied,,,,
T_00636,2024-09-24,Jira Service Management,5.0,4.0,9.0,Great overview of task pending with our programming team. Extremely helpful to keep track of sprints. Learning curve is relatively low.,Responded,Satisfied,1.0,Promoter,Positive,Positive
T_01026,2024-10-07,Zendesk,5.0,5.0,10.0,"Pros:- Intuitive and easy to use. - Well designed UI. Pleasant to the eye.I always knew what to do next.The way that it is designed makes it easy for me to know what is my next step always.- It has apps that can be integrated. For my case, I was able to integrate with chat software Zopim.- It has an analytics feature that we used to keep track of our support teams performance. - Low start-up cost with high functionality. - Integrated with our phone service.",Responded,Satisfied,1.0,Promoter,Positive,Positive
T_01008,2024-10-07,Zoho Desk,,,,,Not Responded,Not Satisfied,,,,
T_00090,2024-09-04,Zoho Desk,4.0,3.0,7.0,I am having a great time using this software. It's automation feature is amazing and cost a great value especially for part-time business owners.,Responded,Satisfied,1.0,Passive,Positive,Positive
T_02238,2024-11-09,Zoho Desk,3.0,3.0,6.0,good and once you get used to it then it is easy to use,Responded,Not Satisfied,0.0,Detractor,Positive,Positive
T_03781,2024-12-10,Zoho Desk,5.0,5.0,10.0,"Easier to handle support, and cut in support costs. We are now on top of every request without dropping the ball because there's a paper trail.",Responded,Satisfied,1.0,Promoter,Positive,Positive
T_04002,2024-12-14,Zoho Desk,4.0,5.0,8.0,It is a professional app which gives me almost all that I need to support our customers,Responded,Satisfied,1.0,Passive,Positive,Positive
T_01774,2024-10-28,Zendesk,,,,,Not Responded,Not Satisfied,,,,
T_03148,2024-11-28,Zendesk,,,,,Not Responded,Not Satisfied,,,,
T_02964,2024-11-24,Zoho Desk,4.0,5.0,6.0,Average when we take support also in prespective.,Responded,Satisfied,1.0,Detractor,Positive,Neutral
T_02396,2024-11-12,Freshdesk,5.0,5.0,10.0,It keeps us organized and makes our support of our product into a ticketing system.We know who has responsded and what is still open.It's a must have for our organization.,Responded,Satisfied,1.0,Promoter,Positive,Positive
T_04581,2024-12-25,Zoho Desk,,,,,Not Responded,Not Satisfied,,,,
T_01439,2024-10-19,Zoho Desk,,,,,Not Responded,Not Satisfied,,,,
T_00728,2024-09-28,Freshdesk,5.0,5.0,9.0,"Great. Great. Great. No complaints thus far, save for the slight irritations noted above",Responded,Satisfied,1.0,Promoter,Positive,Positive
T_01195,2024-10-11,Jira Service Management,,,,,Not Responded,Not Satisfied,,,,
T_01575,2024-10-23,Freshdesk,5.0,5.0,8.0,We use Freshdesk as our support platform for our SaaS product.It's been great so far and the portal for customers has been a huge benefit for us.We came from using Zendesk where I felt we were being overcharged and has to purchase too many different products to accomplish the end goal of a support platform.,Responded,Satisfied,1.0,Passive,Positive,Positive
T_01646,2024-10-25,Freshdesk,4.0,4.0,6.0,The ticketing system of freshdesk is very flowless and very helpful with detailed reporting stucture.The iontegration has few hick ups as we had integrated it with different CTI but the freshdesk support staff was very courtieous and handle queries with precision,Responded,Satisfied,1.0,Detractor,Positive,Positive
T_01105,2024-10-09,Zendesk,4.0,3.0,9.0,"We've been able to beat industry standards on first reply time and customer satisfaction, despite significant ticket volume. While our people have much to do with that, it was definitely more difficult before we had Zendesk.",Responded,Satisfied,1.0,Promoter,Positive,Positive
T_04224,2024-12-18,Freshdesk,,,,,Not Responded,Not Satisfied,,,,
T_01856,2024-10-30,ServiceNow,5.0,5.0,10.0,Awesome. Couldnt imagine any other tool doing the same stuff for you so easily.,Responded,Satisfied,1.0,Promoter,Positive,Positive
T_00204,2024-09-08,Freshdesk,,,,,Not Responded,Not Satisfied,,,,
T_00633,2024-09-24,Zendesk,,,,,Not Responded,Not Satisfied,,,,
T_00037,2024-09-02,Freshdesk,5.0,5.0,10.0,Great.,Responded,Satisfied,1.0,Promoter,Positive,Positive
T_04467,2024-12-23,Zoho Desk,5.0,5.0,9.0,"Overall, an excellent product! If you want to improve the efficiency of your operations. Zoho is the answer! Furthermore, the cost is extremely fair.",Responded,Satisfied,1.0,Promoter,Positive,Positive
T_02246,2024-11-09,Freshdesk,5.0,5.0,10.0,We set up our ticketing system and built our help center portal with a custom CSS solution and it adapts perfectly to our needs,Responded,Satisfied,1.0,Promoter,Positive,Positive
T_04549,2024-12-24,Zendesk,,,,,Not Responded,Not Satisfied,,,,
T_04532,2024-12-24,Freshdesk,,,,,Not Responded,Not Satisfied,,,,
T_00275,2024-09-10,otrs,,,,,Not Responded,Not Satisfied,,,,
T_02821,2024-11-21,Zoho Desk,3.0,3.0,8.0,"Overall, the software is excellent, especially in terms of the customer database and usability. In Zoho CRM, the reporting is also excellent.",Responded,Not Satisfied,0.0,Passive,Positive,Positive
T_01364,2024-10-16,Jira Service Management,,,,,Not Responded,Not Satisfied,,,,
T_03535,2024-12-05,Jira Service Management,4.0,5.0,6.0,I would recommend it for anyone where cross-team collaboration is important.,Responded,Satisfied,1.0,Detractor,Positive,Positive
T_03619,2024-12-07,Freshdesk,4.0,4.0,7.0,It provides us with a system that tracks customer support. One central place where we anyone in the organisation can interact with a customer. It gives our customers a go to place for documents etc.,Responded,Satisfied,1.0,Passive,Positive,Positive
T_02061,2024-11-05,Freshdesk,,,,,Not Responded,Not Satisfied,,,,
T_00131,2024-09-05,Zendesk,5.0,4.0,6.0,Pros:I like how well documented tickets are searchable and help to resolve future issues for my customers.,Responded,Satisfied,1.0,Detractor,Positive,Positive
